Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Reconciliation_Job,Monthly,OK,nan,6 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
AutomaticDashboard,Monthly,OK,nan,672 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,36 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,36  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,2  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Ratios Job,Monthly,PDTE,nan,109 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Sections Job,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Investment Policy Job Default,Monthly,OK,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,665,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:62 N° of TA in MegaCompliance D-1:135,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,694  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13022025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11261,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5381,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 496,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2265,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Reconciliation_Job,Monthly,OK,nan,20 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
AutomaticDashboard,Monthly,OK,nan,686 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,8 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,8 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,8 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Ratios Job,Monthly,PDTE,nan,123 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Sections Job,Monthly,PDTE,nan,10  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,10 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Derivative Price Control Process,Daily,OK,nan,679,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:535 N° of TA in MegaCompliance D-1:596,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,979  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -13032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10701,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5218,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 122,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1720,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Reconciliation_Job,Monthly,OK,nan,75 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Ratios Job,Monthly,PDTE,nan,129 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Sections Job,Monthly,PDTE,nan,22 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,22 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
FX Rate Migration,Daily,PDTE,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:67 N° of TA in MegaCompliance D-1:68,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 0 N° of clients in MegaCompliance D-1:0,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,529  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14012025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11264,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 15378,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 161,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 2218,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Reconciliation_Job,Monthly,OK,nan,272 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
AutomaticDashboard,Monthly,OK,nan,688 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Depositary Fees Calculation,Monthly,OK,nan,162 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Management Fees Calculation,Monthly,OK,nan,154 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Success Fees Calculation,Monthly,OK,nan,154 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Ratios Job,Monthly,OK,nan,204 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Sections Job,Monthly,OK,nan,154  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Investment Policy Job Default,Monthly,OK,nan,163 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,223,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Derivative Price Control Process,Daily,OK,nan,37,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
FX Rate Migration,Daily,OK,nan,305,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Migration_Common_To_Compliance Tradable Assets,Daily,PDTE,nan,N° of TA in MegaCommon D-1:60 N° of TA in MegaCompliance D-1:12,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Migration_Common_To_Compliance Contractual Client,Daily,PDTE,nan,N° of clients in MegaCommon D-1: 1 N° of clients in MegaCompliance D-1:1,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Daily Contractos WA was executed,Daily,PDTE,nan,1050  lines impacted,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Main Entity (0038) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Main Entity (ALL) business date was updated,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Nodes,Weekly(Monday),OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
MegaBroker Data,Daily,OK,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
!,nan,nan,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -14032025.xlsx
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 10695,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5221,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 102,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 1663,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Reconciliation_Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
AutomaticDashboard,Monthly,OK,nan,671 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,34  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,34 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,34  eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Ratios Job,Monthly,PDTE,nan,91 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Sections Job,Monthly,PDTE,nan,16 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Investment Policy Job Default,Monthly,OK,nan,18 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Non Derivative Price Control Process,Daily,PDTE,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
Derivative Price Control Process,Daily,PDTE,nan,664,Control de ejecución de WA y procesos diarios - Megacompliance -15012025.xlsx
